input,expected_output
Get PRs containing 'bugfix' in title,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_description"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [""title""], ""terms"": [""bugfix""]}}, ""features"": []}"
Collect PRs with 'feature' or 'enhancement' in title,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_description"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [""title""], ""terms"": [""feature"", ""enhancement""]}}, ""features"": []}"
Récupérer les PRs contenant 'hotfix' dans le titre et la description,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_description"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [""title"", ""description""], ""terms"": [""hotfix""]}}, ""features"": []}"
Get PRs mentioning 'security' in comments,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""pr_comments"", ""comment_content""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [""comments""], ""terms"": [""security""]}}, ""features"": []}"
Collect data for .vue and .jsx files,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""creation_date"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""vue"", ""jsx""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Calculate lead time and commits count,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""creation_date"", ""merge_date"", ""pr_state"", ""commit_sha"", ""commit_messages"", ""commit_authors"", ""commit_dates""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""lead_time"", ""commits_count""]}"
Compute mean time between commits,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""commit_sha"", ""commit_dates"", ""commit_authors""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""mean_time_between_commits""]}"
I need discussions count and comments count,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_comments"", ""comment_content"", ""comment_authors"", ""pr_number"", ""pr_title""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""discussions_count"", ""comments_count""]}"
Calculate historical entropy,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""file_names"", ""file_changes"", ""file_status""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""historical_entropy""]}"
Get modified files and file types,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""file_names"", ""file_status"", ""lines_added"", ""lines_deleted""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""modified_files"", ""file_types""]}"
Calculate reviewers count,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""reviewer"", ""review_state"", ""review_date"", ""pr_number""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""reviewers_count""]}"
Compute total additions and deletions,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""lines_added"", ""lines_deleted"", ""file_names"", ""file_status"", ""pr_number""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""total_additions"", ""total_deletions""]}"
Get minor and major authors analysis,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""commit_sha"", ""commit_authors"", ""commit_dates"", ""lines_added"", ""lines_deleted""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""minor_authors"", ""major_authors""]}"
Calculate rework size and initial size,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""lines_added"", ""lines_deleted"", ""file_names"", ""file_status"", ""commit_sha"", ""commit_dates"", ""pr_state""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""rework_size"", ""initial_size""]}"
Compute all time metrics,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""creation_date"", ""merge_date"", ""pr_state"", ""commit_sha"", ""commit_dates"", ""commit_authors""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""lead_time"", ""mean_time_between_commits"", ""delta_time""]}"
Calculer le lead time et le code churn,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""creation_date"", ""merge_date"", ""pr_state"", ""lines_added"", ""lines_deleted"", ""file_names"", ""file_status""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""lead_time"", ""churn_additions"", ""churn_deletions""]}"
Calculer le nombre de commits et le temps moyen entre commits,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""main"", ""metrics"": [""commit_id"", ""commit_dates"", ""commit_authors"", ""commit_messages""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""commits_count"", ""mean_time_between_commits""]}"
Je veux le nombre de reviewers et de discussers,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""reviewer"", ""review_state"", ""review_date"", ""pr_comments"", ""comment_authors"", ""comment_content"", ""pr_number""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""reviewers_count"", ""discussers_count""]}"
Calculer l'entropie historique des fichiers,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""file_names"", ""file_changes"", ""file_status""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""historical_entropy""]}"
Calculate people count and unique committers,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""commit_sha"", ""commit_authors"", ""commit_dates"", ""pr_comments"", ""comment_authors"", ""reviewer"", ""pr_number""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""people_count"", ""unique_committers""]}"
Compute all collaboration metrics,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""commit_sha"", ""commit_authors"", ""commit_dates"", ""pr_comments"", ""comment_authors"", ""comment_content"", ""reviewer"", ""review_state"", ""review_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""discussions_count"", ""committers_list"", ""unique_committers"", ""committers_count"", ""comments_count"", ""people_count"", ""reviewers_count"", ""discussers_count""]}"
Obtenir la liste des committers et le nombre d'auteurs,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""main"", ""metrics"": [""commit_id"", ""commit_authors"", ""commit_dates""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""committers_list"", ""unique_committers"", ""committers_count""]}"
Calculate delta time for merged PRs,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""creation_date"", ""merge_date"", ""pr_state""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""delta_time""]}"
Je veux calculer toutes les métriques de code,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""file_names"", ""file_status"", ""lines_added"", ""lines_deleted"", ""file_changes"", ""commit_sha"", ""commit_dates"", ""pr_state"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""churn_additions"", ""churn_deletions"", ""initial_size"", ""rework_size"", ""total_additions"", ""total_deletions"", ""modified_files"", ""file_types"", ""historical_entropy""]}"
Compute committers list and count from develop,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""develop"", ""metrics"": [""commit_id"", ""commit_authors"", ""commit_dates""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""committers_list"", ""unique_committers"", ""committers_count""]}"
Collect merged PRs from develop branch in Q1 2026 for Python files,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""develop"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-03-31""}, ""pr_status"": [""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""py""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Get closed MRs from last month by author devops-user,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""main"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""close_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-02-04"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""closed""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [""devops-user""], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Fetch open PRs from staging containing 'WIP' in title,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""staging"", ""metrics"": [""pr_title"", ""pr_description"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [""title""], ""terms"": [""WIP""]}}, ""features"": []}"
Récupérer les PRs mergées des fichiers .ts et .tsx depuis janvier 2026,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""ts"", ""tsx""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Get merged MRs authored by alice and bob for .py and .js files,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""file_names"", ""lines_added"", ""lines_deleted""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""py"", ""js""], ""authors"": [""alice"", ""bob""], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collect PRs from develop in January with 'refactor' keyword in title,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""develop"", ""metrics"": [""pr_title"", ""pr_description"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-01-31""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [""title""], ""terms"": [""refactor""]}}, ""features"": []}"
Récupérer les MRs fermées et mergées par team-lead dans les fichiers .php,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""main"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date"", ""close_date"", ""old_file_path"", ""new_file_path""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""php""], ""authors"": [""team-lead""], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Get commits from staging branch in February 2026 for Ruby files,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""staging"", ""metrics"": [""commit_sha"", ""commit_messages"", ""commit_authors"", ""commit_dates"", ""file_changes""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-02-01"", ""end_date"": ""2026-02-28""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""rb""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collect reviews from develop last month,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""develop"", ""metrics"": [""review_state"", ""reviewer"", ""review_date"", ""review_comments"", ""pr_number"", ""pr_title""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-02-04"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Récupérer les données des fichiers .sql avec le mot 'migration' dans le titre depuis la branche release,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""release"", ""metrics"": [""mr_title"", ""mr_description"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""old_file_path"", ""new_file_path""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""sql""], ""authors"": [], ""keywords"": {""fields"": [""title""], ""terms"": [""migration""]}}, ""features"": []}"
Get file changes from hotfix branch for .yaml files in Q4 2025,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""hotfix"", ""metrics"": [""file_names"", ""file_status"", ""lines_added"", ""lines_deleted"", ""total_changes"", ""pr_number""], ""basic_filters"": {""date_range"": {""start_date"": ""2025-10-01"", ""end_date"": ""2025-12-31""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""yaml"", ""yml""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collect all MR data from production branch by senior-dev and lead-dev,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""production"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date"", ""merged_by"", ""commit_id"", ""commit_messages"", ""commit_authors"", ""commit_dates""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [""senior-dev"", ""lead-dev""], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Récupérer les PRs ouvertes et fermées de la branche develop avec les commentaires,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""develop"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""close_date"", ""pr_comments"", ""comment_authors"", ""comment_dates"", ""comment_content""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Get merged PRs with 'deploy' in title for .yml files from staging,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""staging"", ""metrics"": [""pr_title"", ""pr_description"", ""pr_number"", ""pr_state"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""yml""], ""authors"": [], ""keywords"": {""fields"": [""title""], ""terms"": [""deploy""]}}, ""features"": []}"
"Collect MRs from develop branch in February 2026, only .vue files by frontend-dev","{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""develop"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date"", ""old_file_path"", ""new_file_path"", ""file_diff""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-02-01"", ""end_date"": ""2026-02-28""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""vue""], ""authors"": [""frontend-dev""], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Fetch PRs from last year mentioning 'performance' in description for .rs files,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_description"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""file_names"", ""file_status""], ""basic_filters"": {""date_range"": {""start_date"": ""2025-01-01"", ""end_date"": ""2025-12-31""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""rs""], ""authors"": [], ""keywords"": {""fields"": [""description""], ""terms"": [""performance""]}}, ""features"": []}"
Récupérer les PRs des fichiers Kotlin contenant 'fix' ou 'crash' dans le titre,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_description"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""kt""], ""authors"": [], ""keywords"": {""fields"": [""title""], ""terms"": [""fix"", ""crash""]}}, ""features"": []}"
"Get PRs filtered to C++ files from develop, open and merged only","{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""develop"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""file_names"", ""file_status""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""cpp"", ""h""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collect open PRs from feature/dashboard containing 'WIP' or 'draft' in title,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""feature/dashboard"", ""metrics"": [""pr_title"", ""pr_description"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [""title""], ""terms"": [""WIP"", ""draft""]}}, ""features"": []}"
Récupérer les données avec une plage de dates raffinée du 1er au 15 février 2026,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": {""start_date"": ""2026-02-01"", ""end_date"": ""2026-02-15""}, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Get merged MRs since January authored by data-engineer for .py and .ipynb files,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""main"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date"", ""commit_id"", ""commit_authors"", ""commit_dates"", ""old_file_path"", ""new_file_path""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""py"", ""ipynb""], ""authors"": [""data-engineer""], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collect PRs with 'breaking change' in description from staging in 2025,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""staging"", ""metrics"": [""pr_title"", ""pr_description"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2025-01-01"", ""end_date"": ""2025-12-31""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [""description""], ""terms"": [""breaking change""]}}, ""features"": []}"
Récupérer les PRs fermées avec le mot 'deprecated' dans les commentaires,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""close_date"", ""pr_comments"", ""comment_content""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""closed""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [""comments""], ""terms"": [""deprecated""]}}, ""features"": []}"
Get closed and merged PRs authored by qa-team with 'test' in title,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_description"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""close_date"", ""merge_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [""qa-team""], ""keywords"": {""fields"": [""title""], ""terms"": [""test""]}}, ""features"": []}"
Collect MR data from release branch for .swift files author ios-team in 2024,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""release"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date"", ""old_file_path"", ""new_file_path"", ""file_diff""], ""basic_filters"": {""date_range"": {""start_date"": ""2024-01-01"", ""end_date"": ""2024-12-31""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""swift""], ""authors"": [""ios-team""], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": []}"
Collect merged PRs from develop branch in Q1 2026 for Python files and calculate lead time and code churn,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""develop"", ""metrics"": [""creation_date"", ""merge_date"", ""pr_state"", ""pr_title"", ""pr_number"", ""lines_added"", ""lines_deleted"", ""file_names"", ""file_status""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-03-31""}, ""pr_status"": [""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""py""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""lead_time"", ""churn_additions"", ""churn_deletions""]}"
"I want to get all the MR data from release branch, filter by author backend-dev from last month, and calculate discussions count, committers list, and people count","{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""release"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date"", ""commit_id"", ""commit_authors"", ""commit_dates"", ""discussion_id"", ""discussion_notes"", ""note_content"", ""note_author""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-02-04"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [""backend-dev""], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""discussions_count"", ""committers_list"", ""people_count""]}"
